CENARIO	MES	PRODUTO	CARTEIRA	CANAL	SUB_CANAL	SEGMENTO	CICLO_VIDA	VALOR	TIPO	BU	MOP	MONEY_RELEASE_SCHEMA	TYPE_FIN	PARCELAS
ACTUAL	202601	LINK	ACQUISITION	CANAIS DIGITAIS	CANAIS DIGITAIS	BIG SELLERS		150.0			BANK_TRANSFER			
ACTUAL	202601	LINK	ACQUISITION	CANAIS DIGITAIS	CANAIS DIGITAIS	BIG SELLERS		8757.96			CREDIT_CARD			
ACTUAL	202601	LINK	ACQUISITION	CANAIS DIGITAIS	CANAIS DIGITAIS	LONGTAIL		290196.94			ACCOUNT_MONEY			
ACTUAL	202601	LINK	ACQUISITION	CANAIS DIGITAIS	CANAIS DIGITAIS	LONGTAIL		1264997.57			BANK_TRANSFER			
ACTUAL	202601	LINK	ACQUISITION	CANAIS DIGITAIS	CANAIS DIGITAIS	LONGTAIL		94618528.13			CREDIT_CARD			
ACTUAL	202601	LINK	ACQUISITION	CANAIS DIGITAIS	CANAIS DIGITAIS	LONGTAIL		2760.53			DEBIT_CARD			
ACTUAL	202601	LINK	ACQUISITION	CANAIS DIGITAIS	CANAIS DIGITAIS	LONGTAIL		1384676.32			DIGITAL_CURRENCY			
ACTUAL	202601	LINK	ACQUISITION	CANAIS DIGITAIS	CANAIS DIGITAIS	LONGTAIL		378114.02			TICKET			
ACTUAL	202601	LINK	ACQUISITION	CANAIS DIGITAIS	CANAIS DIGITAIS	SMB		77458.53			ACCOUNT_MONEY			
ACTUAL	202601	LINK	ACQUISITION	CANAIS DIGITAIS	CANAIS DIGITAIS	SMB		377231.3			BANK_TRANSFER			
ACTUAL	202601	LINK	ACQUISITION	CANAIS DIGITAIS	CANAIS DIGITAIS	SMB		38705208.76			CREDIT_CARD			
ACTUAL	202601	LINK	ACQUISITION	CANAIS DIGITAIS	CANAIS DIGITAIS	SMB		248.31			DEBIT_CARD			
ACTUAL	202601	LINK	ACQUISITION	CANAIS DIGITAIS	CANAIS DIGITAIS	SMB		71998.05			DIGITAL_CURRENCY			
ACTUAL	202601	LINK	ACQUISITION	CANAIS DIGITAIS	CANAIS DIGITAIS	SMB		634370.55			TICKET			
ACTUAL	202601	LINK	ACQUISITION	CONSULTOR CERTIFICADO	CONSULTOR CERTIFICADO	LONGTAIL		555.69			ACCOUNT_MONEY			
ACTUAL	202601	LINK	ACQUISITION	CONSULTOR CERTIFICADO	CONSULTOR CERTIFICADO	LONGTAIL		311.8			BANK_TRANSFER			
ACTUAL	202601	LINK	ACQUISITION	CONSULTOR CERTIFICADO	CONSULTOR CERTIFICADO	LONGTAIL		91502.75			CREDIT_CARD			
ACTUAL	202601	LINK	ACQUISITION	CONSULTOR CERTIFICADO	CONSULTOR CERTIFICADO	LONGTAIL		1343.0			DIGITAL_CURRENCY			
ACTUAL	202601	LINK	ACQUISITION	CONSULTOR CERTIFICADO	CONSULTOR CERTIFICADO	SMB		129.0			ACCOUNT_MONEY			
ACTUAL	202601	LINK	ACQUISITION	CONSULTOR CERTIFICADO	CONSULTOR CERTIFICADO	SMB		242.0			BANK_TRANSFER			
ACTUAL	202601	LINK	ACQUISITION	CONSULTOR CERTIFICADO	CONSULTOR CERTIFICADO	SMB		99835.41			CREDIT_CARD			
ACTUAL	202601	LINK	ACQUISITION	CONSULTOR CERTIFICADO	CONSULTOR CERTIFICADO	SMB		614.9			DIGITAL_CURRENCY			
ACTUAL	202601	LINK	ACQUISITION	FDV PROPRIA	FDV PROPRIA	BIG SELLERS		36779.0			CREDIT_CARD			
ACTUAL	202601	LINK	ACQUISITION	FDV PROPRIA	FDV PROPRIA	LONGTAIL		9769.93			ACCOUNT_MONEY			
ACTUAL	202601	LINK	ACQUISITION	FDV PROPRIA	FDV PROPRIA	LONGTAIL		26201.46			BANK_TRANSFER			
ACTUAL	202601	LINK	ACQUISITION	FDV PROPRIA	FDV PROPRIA	LONGTAIL		3885841.65			CREDIT_CARD			
ACTUAL	202601	LINK	ACQUISITION	FDV PROPRIA	FDV PROPRIA	LONGTAIL		6856.17			DIGITAL_CURRENCY			
ACTUAL	202601	LINK	ACQUISITION	FDV PROPRIA	FDV PROPRIA	LONGTAIL		1557.49			TICKET			
ACTUAL	202601	LINK	ACQUISITION	FDV PROPRIA	FDV PROPRIA	SMB		16649.15			ACCOUNT_MONEY			
ACTUAL	202601	LINK	ACQUISITION	FDV PROPRIA	FDV PROPRIA	SMB		41413.38			BANK_TRANSFER			
ACTUAL	202601	LINK	ACQUISITION	FDV PROPRIA	FDV PROPRIA	SMB		6332756.72			CREDIT_CARD			
ACTUAL	202601	LINK	ACQUISITION	FDV PROPRIA	FDV PROPRIA	SMB		4964.79			DIGITAL_CURRENCY			
ACTUAL	202601	LINK	ACQUISITION	FDV PROPRIA	FDV PROPRIA	SMB		4770.0			TICKET			
ACTUAL	202601	LINK	ACQUISITION	FDV TERCEIRA	FDV TERCEIRA	LONGTAIL		16053.32			ACCOUNT_MONEY			
ACTUAL	202601	LINK	ACQUISITION	FDV TERCEIRA	FDV TERCEIRA	LONGTAIL		17775.66			BANK_TRANSFER			
ACTUAL	202601	LINK	ACQUISITION	FDV TERCEIRA	FDV TERCEIRA	LONGTAIL		2015382.58			CREDIT_CARD			
ACTUAL	202601	LINK	ACQUISITION	FDV TERCEIRA	FDV TERCEIRA	LONGTAIL		50.0			DEBIT_CARD			
ACTUAL	202601	LINK	ACQUISITION	FDV TERCEIRA	FDV TERCEIRA	LONGTAIL		13151.13			DIGITAL_CURRENCY			
ACTUAL	202601	LINK	ACQUISITION	FDV TERCEIRA	FDV TERCEIRA	LONGTAIL		2650.0			TICKET			
ACTUAL	202601	LINK	ACQUISITION	FDV TERCEIRA	FDV TERCEIRA	SMB		2426.65			ACCOUNT_MONEY			
ACTUAL	202601	LINK	ACQUISITION	FDV TERCEIRA	FDV TERCEIRA	SMB		3032.69			BANK_TRANSFER			
ACTUAL	202601	LINK	ACQUISITION	FDV TERCEIRA	FDV TERCEIRA	SMB		1383321.0			CREDIT_CARD			
ACTUAL	202601	LINK	ACQUISITION	FDV TERCEIRA	FDV TERCEIRA	SMB		5427.86			DIGITAL_CURRENCY			
ACTUAL	202601	LINK	ACQUISITION	HUNTING	HUNTING	BIG SELLERS		14293.95			ACCOUNT_MONEY			
ACTUAL	202601	LINK	ACQUISITION	HUNTING	HUNTING	BIG SELLERS		122532.51			BANK_TRANSFER			
ACTUAL	202601	LINK	ACQUISITION	HUNTING	HUNTING	BIG SELLERS		3859339.69			CREDIT_CARD			
ACTUAL	202601	LINK	ACQUISITION	HUNTING	HUNTING	BIG SELLERS		2712.0			DIGITAL_CURRENCY			
ACTUAL	202601	LINK	ACQUISITION	HUNTING	HUNTING	BIG SELLERS		8336.93			TICKET			
ACTUAL	202601	LINK	ACQUISITION	HUNTING	HUNTING	LONGTAIL		10.0			ACCOUNT_MONEY			
ACTUAL	202601	LINK	ACQUISITION	HUNTING	HUNTING	LONGTAIL		500.0			BANK_TRANSFER			
ACTUAL	202601	LINK	ACQUISITION	HUNTING	HUNTING	LONGTAIL		6662.84			CREDIT_CARD			
ACTUAL	202601	LINK	ACQUISITION	HUNTING	HUNTING	SMB		281.01			BANK_TRANSFER			
ACTUAL	202601	LINK	ACQUISITION	HUNTING	HUNTING	SMB		69338.45			CREDIT_CARD			
ACTUAL	202601	LINK	ACQUISITION	HUNTING	HUNTING	SMB		120.0			TICKET			
ACTUAL	202601	LINK	ACQUISITION	HUNTING LC	HUNTING LC	BIG SELLERS		27014.0			ACCOUNT_MONEY			
ACTUAL	202601	LINK	ACQUISITION	HUNTING LC	HUNTING LC	BIG SELLERS		33190.0			CREDIT_CARD			
ACTUAL	202601	LINK	ACQUISITION	MGM	MGM	LONGTAIL		20752.68			ACCOUNT_MONEY			
ACTUAL	202601	LINK	ACQUISITION	MGM	MGM	LONGTAIL		74523.87			BANK_TRANSFER			
ACTUAL	202601	LINK	ACQUISITION	MGM	MGM	LONGTAIL		8846957.36			CREDIT_CARD			
ACTUAL	202601	LINK	ACQUISITION	MGM	MGM	LONGTAIL		101327.61			DIGITAL_CURRENCY			
ACTUAL	202601	LINK	ACQUISITION	MGM	MGM	LONGTAIL		4282.47			TICKET			
ACTUAL	202601	LINK	ACQUISITION	MGM	MGM	SMB		5852.0			ACCOUNT_MONEY			
ACTUAL	202601	LINK	ACQUISITION	MGM	MGM	SMB		36996.15			BANK_TRANSFER			
ACTUAL	202601	LINK	ACQUISITION	MGM	MGM	SMB		1787870.22			CREDIT_CARD			
ACTUAL	202601	LINK	ACQUISITION	MGM	MGM	SMB		3809.55			DIGITAL_CURRENCY			
ACTUAL	202601	LINK	ACQUISITION	MGM	MGM	SMB		20000.0			TICKET			
ACTUAL	202601	LINK	ACQUISITION	RESELLERS	RESELLERS	LONGTAIL		61684.51			ACCOUNT_MONEY			
ACTUAL	202601	LINK	ACQUISITION	RESELLERS	RESELLERS	LONGTAIL		171565.06			BANK_TRANSFER			
ACTUAL	202601	LINK	ACQUISITION	RESELLERS	RESELLERS	LONGTAIL		21182902.12			CREDIT_CARD			
ACTUAL	202601	LINK	ACQUISITION	RESELLERS	RESELLERS	LONGTAIL		194.0			DEBIT_CARD			
ACTUAL	202601	LINK	ACQUISITION	RESELLERS	RESELLERS	LONGTAIL		337753.42			DIGITAL_CURRENCY			
ACTUAL	202601	LINK	ACQUISITION	RESELLERS	RESELLERS	LONGTAIL		87563.14			TICKET			
ACTUAL	202601	LINK	ACQUISITION	RESELLERS	RESELLERS	SMB		12917.07			ACCOUNT_MONEY			
ACTUAL	202601	LINK	ACQUISITION	RESELLERS	RESELLERS	SMB		24653.17			BANK_TRANSFER			
ACTUAL	202601	LINK	ACQUISITION	RESELLERS	RESELLERS	SMB		2985534.05			CREDIT_CARD			
ACTUAL	202601	LINK	ACQUISITION	RESELLERS	RESELLERS	SMB		19459.77			DIGITAL_CURRENCY			
ACTUAL	202601	LINK	ACQUISITION	RESELLERS	RESELLERS	SMB		135.0			TICKET			
ACTUAL	202601	LINK	ACQUISITION	TELESALES_FARMING	TELESALES_FARMING	LONGTAIL		25.0			BANK_TRANSFER			
ACTUAL	202601	LINK	ACQUISITION	TELESALES_FARMING	TELESALES_FARMING	LONGTAIL		120222.37			CREDIT_CARD			
ACTUAL	202601	LINK	ACQUISITION	TELESALES_FARMING	TELESALES_FARMING	LONGTAIL		1330.0			DIGITAL_CURRENCY			
ACTUAL	202601	LINK	ACQUISITION	TELESALES_FARMING	TELESALES_FARMING	SMB		1000.0			BANK_TRANSFER			
ACTUAL	202601	LINK	ACQUISITION	TELESALES_FARMING	TELESALES_FARMING	SMB		20961.46			CREDIT_CARD			
ACTUAL	202601	LINK	ACQUISITION	TELEVENDAS	TELEVENDAS	LONGTAIL		4075.88			ACCOUNT_MONEY			
ACTUAL	202601	LINK	ACQUISITION	TELEVENDAS	TELEVENDAS	LONGTAIL		5688.46			BANK_TRANSFER			
ACTUAL	202601	LINK	ACQUISITION	TELEVENDAS	TELEVENDAS	LONGTAIL		1027457.39			CREDIT_CARD			
ACTUAL	202601	LINK	ACQUISITION	TELEVENDAS	TELEVENDAS	LONGTAIL		16667.23			DIGITAL_CURRENCY			
ACTUAL	202601	LINK	ACQUISITION	TELEVENDAS	TELEVENDAS	LONGTAIL		3347.08			TICKET			
ACTUAL	202601	LINK	ACQUISITION	TELEVENDAS	TELEVENDAS	SMB		2688.1			ACCOUNT_MONEY			
ACTUAL	202601	LINK	ACQUISITION	TELEVENDAS	TELEVENDAS	SMB		1987.0			BANK_TRANSFER			
ACTUAL	202601	LINK	ACQUISITION	TELEVENDAS	TELEVENDAS	SMB		389551.92			CREDIT_CARD			
ACTUAL	202601	LINK	ACQUISITION	TELEVENDAS	TELEVENDAS	SMB		1640.0			DIGITAL_CURRENCY			
ACTUAL	202601	LINK	ACQUISITION	TELEVENDAS	TELEVENDAS	SMB		300.0			TICKET			
ACTUAL	202601	LINK	ENGAGEMENT	ENGAGEMENT & VALUE PROP	ENGAGEMENT & VALUE PROP	LONGTAIL		1593104.99			ACCOUNT_MONEY			
ACTUAL	202601	LINK	ENGAGEMENT	ENGAGEMENT & VALUE PROP	ENGAGEMENT & VALUE PROP	LONGTAIL		7872715.49			BANK_TRANSFER			
ACTUAL	202601	LINK	ENGAGEMENT	ENGAGEMENT & VALUE PROP	ENGAGEMENT & VALUE PROP	LONGTAIL		681340239.6			CREDIT_CARD			
ACTUAL	202601	LINK	ENGAGEMENT	ENGAGEMENT & VALUE PROP	ENGAGEMENT & VALUE PROP	LONGTAIL		22390.43			DEBIT_CARD			
ACTUAL	202601	LINK	ENGAGEMENT	ENGAGEMENT & VALUE PROP	ENGAGEMENT & VALUE PROP	LONGTAIL		4706055.76			DIGITAL_CURRENCY			
ACTUAL	202601	LINK	ENGAGEMENT	ENGAGEMENT & VALUE PROP	ENGAGEMENT & VALUE PROP	LONGTAIL		1927459.72			TICKET			
ACTUAL	202601	LINK	ENGAGEMENT	ENGAGEMENT & VALUE PROP	ENGAGEMENT & VALUE PROP	SMB		1463422.35			ACCOUNT_MONEY			
ACTUAL	202601	LINK	ENGAGEMENT	ENGAGEMENT & VALUE PROP	ENGAGEMENT & VALUE PROP	SMB		8882611.4			BANK_TRANSFER			
ACTUAL	202601	LINK	ENGAGEMENT	ENGAGEMENT & VALUE PROP	ENGAGEMENT & VALUE PROP	SMB		649494314.2			CREDIT_CARD			
ACTUAL	202601	LINK	ENGAGEMENT	ENGAGEMENT & VALUE PROP	ENGAGEMENT & VALUE PROP	SMB		3375.0			DEBIT_CARD			
ACTUAL	202601	LINK	ENGAGEMENT	ENGAGEMENT & VALUE PROP	ENGAGEMENT & VALUE PROP	SMB		1591137.26			DIGITAL_CURRENCY			
ACTUAL	202601	LINK	ENGAGEMENT	ENGAGEMENT & VALUE PROP	ENGAGEMENT & VALUE PROP	SMB		3115441.68			TICKET			
